,word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,persistence_unigrams_lemma,persistence_bigrams_lemma,persistence_trigrams_lemma,persistence_quadrigrams_lemma,DEZEMBER,NON-AGENTIVITY,SCHEDULE
0,Hallo,hallo,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
1,wie,wie,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
2,sieht,sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
3,mein,mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
4,Kalender,kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
5,am,an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
6,zwölften,zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
7,zwölften,zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
8,aus,aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
9,Die,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
10,Termine,termin,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,FPP_Termin,FPP_start_Termin an,,,no,no,no
11,am,an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,FPP_end_Termin an,,,no,no,no
12,Montag,montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
13,den,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
14,zwölften,zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
15,Dezember,dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,FPP_Dezember,,,,yes,no,no
16,sehen,sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
17,wie,wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
18,folgt,folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
19,aus,aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no,no,no
20,Und,und,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
21,wie,wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
22,sehen,sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
23,meine,mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
24,Termine,termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,SPP_Termin,SPP_start_Termin an,,,no,no,no
25,am,an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,SPP_end_Termin an,,,no,no,no
26,dreizehnten,dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
27,zwölften,zwölf,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,yes,no,no
28,aus,aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
29,Alexa,alexa,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
30,wie,wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
31,sehen,sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
32,meine,mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
33,Termine,termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,SPP_Termin,SPP_start_Termin an,,,no,no,no
34,am,an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,SPP_end_Termin an,,,no,no,no
35,dreizehnten,dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
36,Dezember,dezember,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,SPP_Dezember,,,,yes,no,no
37,aus,aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,no,no,no
38,Tut,tut,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
39,mir,mir,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,FPP_mir,,,,no,no,no
40,leid,leid,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
41,das,der,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
42,habe,haben,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
43,ich,ich,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
44,nicht,nicht,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
45,verstanden,verstehen,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,,,,,no,no,no
46,Alexa,alexa,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
47,wie,wie,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
48,sehen,sehen,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
49,meine,mein,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
50,Termine,termin,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,SPP_Termin,SPP_start_Termin an,,,no,no,no
51,am,an,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,SPP_end_Termin an,,,no,no,no
52,dreizehnten,dreizehnter,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
53,Dezember,dezember,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,SPP_Dezember,,,,yes,no,no
54,aus,aus,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,,,,,no,no,no
55,Am,an,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,,,,,no,no,no
56,dreizehnten,dreizehnter,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,,,,,no,no,no
57,Dezember,dezember,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,FPP_Dezember,,,,yes,no,no
58,hast,haben,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,,,,,no,no,no
59,du,du,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,,,,,no,no,no
60,keinen,kein,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,,,,,no,no,no
61,Eintrag,eintrag,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,FPP_Eintrag,,,,no,no,no
62,Alexa,alexa,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
63,bitte,bitte,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
64,erstelle,erstellen,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,yes
65,mir,mir,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,SPP_mir,,,,no,no,no
66,einen,ein,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
67,Eintrag,eintrag,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,SPP_Eintrag,,,,no,no,no
68,um,um,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
69,neun,neun,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
70,Uhr,uhr,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
71,am,an,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
72,dreizehnten,dreizehnter,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,,,,,no,no,no
73,Dezember,dezember,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,SPP_Dezember,,,,yes,no,no
74,Klar,klar,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
75,und,und,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
76,wie,wie,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
77,soll,sollen,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
78,der,der,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
79,Termin,termin,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
80,heißen,heißen,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,,,,,no,no,no
81,Lerngruppe,lerngruppe,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,,,,,no,no,no
82,mit,mit,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,,,,,no,no,no
83,Peter,peter,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,,,,,no,no,no
84,Alles,alles,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
85,klar,klar,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
86,dein,der,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
87,Termin,termin,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
88,am,an,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
89,dreizehnten,dreizehnter,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
90,Dezember,dezember,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,yes,no,no
91,um,um,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
92,neun,neun,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
93,Uhr,uhr,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
94,namens,namens,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
95,Lerngruppe,lerngruppe,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
96,mit,mit,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
97,Peter,peter,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
98,ist,sein,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,no
99,eingetragen,eintragen,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,,,,,no,no,yes
100,Hallo,hallo,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
101,wie,wie,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
102,sieht,sehen,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
103,mein,mein,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
104,Kalender,kalender,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
105,am,an,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no,no,no
